Scheduler,Partitions,Parallelism,Shuffle Partitions,Average Time,Average CPU
FIFO,1,1,1,27.61681354045868,4.074999999999999
FAIR,1,1,1,26.93173849582672,10.375000000000002
FIFO,1,1,101,26.827427744865417,10.325
FAIR,1,1,101,26.49240505695343,10.875000000000002
FIFO,1,101,1,27.76728755235672,11.925
FAIR,1,101,1,27.492819011211395,13.225
FIFO,1,101,101,27.54737663269043,13.125
FAIR,1,101,101,27.136326134204865,12.85
FIFO,101,1,1,32.65538704395294,12.025
FAIR,101,1,1,32.27995353937149,10.725
FIFO,101,1,101,33.14388746023178,17.425000000000004
FAIR,101,1,101,32.79830801486969,13.725
FIFO,101,101,1,28.450863003730774,14.725
FAIR,101,101,1,28.20865923166275,17.325
FIFO,101,101,101,26.79444980621338,18.700000000000003
FAIR,101,101,101,26.071580708026886,19.375000000000004
